timestamp,symbol,side,grade,qty,entry,stop,target,risk_pct,risk_dollars,reason,order_id
2026-05-20T00:01:08.738350,AMZN,short,A+,426,259.18,262.25,253.6076,1.18,1307.82,ORB short breakdown (range=1.07% vol=2.1x trend_str=2.1%),bfba8637-3cd7-4642-bdc3-d5a0a229f930
2026-05-20T00:02:24.725065,IWM,short,A+,284,271.6,273.89,267.24,0.59,650.36,ORB short breakdown (range=0.80% vol=2.5x trend_str=2.6%),b787d0e1-3068-43d4-9655-109cfbc2b6cc
2026-05-20T00:02:25.927776,TSLA,short,B,135,399.59,404.75,391.88999999999993,0.63,696.60,ORB short breakdown (range=0.96% vol=1.8x trend_str=1.3%),b7286626-2509-437b-abb0-1f3baa52861b
