timestamp,symbol,side,grade,qty,entry,stop,target,risk_pct,risk_dollars,reason,order_id
2026-05-29T00:01:34.548746,MSFT,long,A+,258,419.18,412.67,431.82,1.55,1679.58,ORB long breakout (range=1.53% vol=2.4x trend_str=2.6%),6fc71742-dbab-4419-b1cc-2402c1baa40a
2026-05-29T00:01:36.080487,GOOGL,short,B,209,385.36,388.99,378.4,0.70,758.67,ORB short breakdown (range=0.90% vol=1.6x trend_str=1.0%),e37e9cdc-9867-4989-ab7f-8dd291580a2e
2026-05-29T00:02:17.405711,AAPL,long,B,181,311.0475,309.6,313.72749999999996,0.24,262.00,ORB long breakout (range=0.43% vol=1.6x trend_str=5.3%),7604fc16-c7bd-4210-b8a2-067cdc4642e5
