timestamp,symbol,side,grade,qty,entry,stop,target,risk_pct,risk_dollars,reason,order_id
2026-07-22T00:02:39.789267,QQQ,short,B,132,703.99,707.13,698.51,0.44,414.48,ORB short breakdown (range=0.39% vol=1.5x trend_str=1.3%),8fd7cc09-cc6e-4eec-80d7-084ffba52784
2026-07-22T00:18:29.666521,NU,long,A,4617,14.145,13.865,14.695,1.39,1292.76,ORB long breakout (range=1.98% vol=1.5x trend_str=5.5%),f321319b-520f-4d26-8fd3-2f0bac7168a1
2026-07-22T00:27:37.339070,AAPL,long,A,138,325.88,322.3814,332.33720000000005,0.52,482.81,ORB long breakout (range=1.00% vol=1.6x trend_str=6.0%),cdb417d8-f281-41c2-b3d4-adf5b64f75ee
